Creator,Citation Name,Type,Date modified,See with EMA,status
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (non
mechanical)",2017-07-30T11:56:13,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T10:28:46,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T10:26:01,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T10:17:42,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-30T10:16:48,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T10:12:25,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical) 
Transformation (mechanical)",2017-07-30T10:08:32,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T10:05:21,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (non
mechanical)",2017-07-30T10:01:20,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T09:58:01,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T09:55:10,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T09:50:56,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-30T09:49:29,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T09:45:15,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T09:41:06,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T20:55:31,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T20:46:03,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T20:43:02,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T20:38:16,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-29T20:34:28,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T17:27:37,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical) 
New Material",2017-07-29T17:24:44,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T17:18:08,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-29T17:15:01,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T17:08:19,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T17:02:53,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T17:02:47,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T16:59:09,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T16:57:34,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T16:53:40,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T16:46:59,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T16:45:45,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T16:34:27,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T16:07:58,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T15:49:32,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T15:46:48,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-29T15:44:43,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T15:41:47,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T15:34:13,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T15:27:27,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T15:23:12,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T15:21:55,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T15:20:23,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T15:16:55,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T15:15:53,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (non
mechanical)",2017-07-29T15:09:38,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T15:08:14,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Gloria) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:58:52,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:42:14,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:37:12,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T13:33:25,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:30:32,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-29T13:28:02,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-29T13:23:57,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T13:19:34,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:16:01,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:10:56,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-29T13:01:43,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T13:00:17,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-29T12:51:37,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-29T12:50:58,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T12:44:50,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T12:40:22,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-29T12:31:28,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-29T12:29:56,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Kyrie) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-29T12:25:25,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Sanctus) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T15:24:30,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Sanctus) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T15:13:13,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Sanctus) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T14:50:58,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Sanctus) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T14:45:35,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Sanctus) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T14:24:57,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Sanctus) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T14:17:33,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T14:01:00,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T13:54:40,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T13:44:33,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T13:40:19,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-24T13:33:16,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T13:26:15,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T13:16:00,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T13:07:00,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-24T12:55:22,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-22T18:09:48,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-22T17:51:23,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-22T17:32:48,EMA,valid  invalid
Bonnec,": Sermisy. Missa Quare fremuerunt gentes (Credo) 
: Sermisy. Quare fremuerunt gentes","Transformation (non
mechanical)",2017-07-22T16:03:56,EMA,valid  invalid
